{'id': 'AVD-2021-25745', '漏洞名称': 'Linux ingress-nginx 安全漏洞（CVE-2021-25745）', '漏洞类型': '未定义', '披露时间': '2022-04-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0854', '漏洞名称': 'linux linux_kernel 在移除最后引用时对内存的释放不恰当（内存泄露）', '漏洞类型': 'CWE-401', '披露时间': '2022-03-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4148', '漏洞名称': 'Linux kernel 安全漏洞（CVE-2021-4148）', '漏洞类型': 'CWE-354', '披露时间': '2022-03-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4149', '漏洞名称': 'Linux kernel 竞争条件问题漏洞', '漏洞类型': 'CWE-667', '披露时间': '2022-03-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-27666', '漏洞名称': 'linux linux_kernel 跨界内存写', '漏洞类型': 'CWE-787', '披露时间': '2022-03-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-1011', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-03-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-24595', '漏洞名称': 'automotivelinux kooky_koi 授权机制缺失', '漏洞类型': 'CWE-862', '披露时间': '2022-03-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0742', '漏洞名称': 'linux linux_kernel 在移除最后引用时对内存的释放不恰当（内存泄露）', '漏洞类型': 'CWE-401', '披露时间': '2022-03-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45868', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-03-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-27223', '漏洞名称': 'linux linux_kernel 对数组索引的验证不恰当', '漏洞类型': 'CWE-129', '披露时间': '2022-03-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-21819', '漏洞名称': 'nvidia jetson_linux 关键资源的不正确权限授予', '漏洞类型': 'CWE-732', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-26878', '漏洞名称': 'linux linux_kernel 对已超过有效生命周期的资源丧失索引', '漏洞类型': 'CWE-772', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0433', '漏洞名称': 'linux linux_kernel 空指针解引用', '漏洞类型': 'CWE-476', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23042', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23041', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23040', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23039', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23038', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23037', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23036', '漏洞名称': 'Linux 安全漏洞', '漏洞类型': 'CWE-362', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0516', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': '未定义', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0435', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-787', '披露时间': '2022-03-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4159', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2022-03-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0322', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-704', '披露时间': '2022-03-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-26490', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-120', '披露时间': '2022-03-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3995', '漏洞名称': 'Util-linux 权限许可和访问控制问题漏洞', '漏洞类型': '未定义', '披露时间': '2022-03-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3996', '漏洞名称': 'util-linux 权限许可和访问控制问题漏洞', '漏洞类型': '未定义', '披露时间': '2022-03-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0847', '漏洞名称': 'Dirty Pipe - Linux 内核本地提权漏洞（CVE-2022-0847）', '漏洞类型': 'CWE-665', '披露时间': '2022-03-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3428', '漏洞名称': 'linux linux_kernel 整数溢出或超界折返', '漏洞类型': 'CWE-190', '披露时间': '2022-03-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3744', '漏洞名称': 'linux linux_kernel 在移除最后引用时对内存的释放不恰当（内存泄露）', '漏洞类型': 'CWE-401', '披露时间': '2022-03-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3640', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-03-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4002', '漏洞名称': 'Linux kernel 安全漏洞（CVE-2021-4002）', '漏洞类型': 'CWE-401', '披露时间': '2022-03-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3772', '漏洞名称': 'linux linux_kernel 完整性检查值验证不恰当', '漏洞类型': 'CWE-354', '披露时间': '2022-03-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-36516', '漏洞名称': 'Linux kernel 加密问题漏洞（CVE-2020-36516）', '漏洞类型': 'CWE-327', '披露时间': '2022-02-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-25636', '漏洞名称': 'Linux kernel 内核越界写提权漏洞', '漏洞类型': 'CWE-269', '披露时间': '2022-02-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0492', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-287', '披露时间': '2022-02-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0330', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-281', '披露时间': '2022-02-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0563', '漏洞名称': 'Util-linux 安全漏洞', '漏洞类型': 'CWE-209', '披露时间': '2022-02-22', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-25375', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-668', '披露时间': '2022-02-22', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-20325', '漏洞名称': 'Red Hat Enterprise Linux 代码问题漏洞', '漏洞类型': 'CWE-119', '披露时间': '2022-02-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4093', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-125', '披露时间': '2022-02-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4090', '漏洞名称': 'linux linux_kernel 跨界内存写', '漏洞类型': 'CWE-787', '披露时间': '2022-02-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0646', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-02-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-44730', '漏洞名称': 'Linux Snap 权限提升漏洞（CVE-2021-44730）', '漏洞类型': 'CWE-59', '披露时间': '2022-02-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-44731', '漏洞名称': 'Linux Snap 权限提升漏洞（CVE-2021-44731）', '漏洞类型': 'CWE-362', '披露时间': '2022-02-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-25258', '漏洞名称': 'Linux kernel 代码问题漏洞', '漏洞类型': 'CWE-476', '披露时间': '2022-02-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3760', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2022-02-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0617', '漏洞名称': 'Linux kernel 代码问题漏洞', '漏洞类型': 'CWE-476', '披露时间': '2022-02-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3557', '漏洞名称': 'linuxfoundation argo-cd 关键资源的不正确权限授予', '漏洞类型': 'CWE-732', '披露时间': '2022-02-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-44879', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-476', '披露时间': '2022-02-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0382', '漏洞名称': 'linux linux_kernel 资源初始化缺失', '漏洞类型': 'CWE-909', '披露时间': '2022-02-12', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45402', '漏洞名称': 'Linux kernel 缓冲区错误漏洞（CVE-2021-45402）', '漏洞类型': 'CWE-668', '披露时间': '2022-02-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-24958', '漏洞名称': 'Linux kernel 代码问题漏洞（CVE-2022-24958）', '漏洞类型': 'CWE-763', '披露时间': '2022-02-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-24959', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-401', '披露时间': '2022-02-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3894', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2022-02-09', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23276', '漏洞名称': 'Linux 容器专用的 SQL Server 特权漏洞提升', '漏洞类型': 'CWE-269', '披露时间': '2022-02-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-21814', '漏洞名称': 'Nvidia GPU Display Driver for Linux 安全漏洞', '漏洞类型': 'CWE-755', '披露时间': '2022-02-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-21813', '漏洞名称': 'Nvidia GPU Display Driver for Linux 安全漏洞（CVE-2022-21813）', '漏洞类型': 'CWE-755', '披露时间': '2022-02-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0264', '漏洞名称': 'linux linux_kernel 对异常条件的处理不恰当', '漏洞类型': 'CWE-755', '披露时间': '2022-02-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0487', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2022-02-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-24448', '漏洞名称': 'linux linux_kernel 资源初始化缺失', '漏洞类型': 'CWE-909', '披露时间': '2022-02-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0286', '漏洞名称': 'Linux kernel 代码问题漏洞', '漏洞类型': 'CWE-476', '披露时间': '2022-02-01', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-24122', '漏洞名称': 'Linux Kernel内存错误引用漏洞（CVE-2022-24122）', '漏洞类型': 'CWE-416', '披露时间': '2022-01-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-22942', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2022-01-29', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-22600', '漏洞名称': 'Linux kernel 资源管理错误漏洞（CVE-2021-22600）', '漏洞类型': 'CWE-415', '披露时间': '2022-01-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3521', '漏洞名称': 'Red Hat Enterprise Linux 数据伪造问题漏洞', '漏洞类型': '未定义', '披露时间': '2022-01-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4032', '漏洞名称': 'linux linux_kernel 清理环节不完整', '漏洞类型': 'CWE-459', '披露时间': '2022-01-22', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-39685', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-787', '披露时间': '2022-01-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0185', '漏洞名称': 'Linux kernel 输入验证错误漏洞', '漏洞类型': 'CWE-190', '披露时间': '2022-01-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-23222', '漏洞名称': 'Linux kernel 代码问题漏洞（CVE-2022-23222）', '漏洞类型': 'CWE-476', '披露时间': '2022-01-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-46283', '漏洞名称': 'Linux netfilter 安全漏洞', '漏洞类型': 'CWE-665', '披露时间': '2022-01-12', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-20316', '漏洞名称': 'Red Hat Enterprise Linux 安全漏洞（CVE-2021-20316）', '漏洞类型': '未定义', '披露时间': '2022-01-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-28714', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-404', '披露时间': '2022-01-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-28715', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-404', '披露时间': '2022-01-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43832', '漏洞名称': 'linuxfoundation spinnaker 关键功能的认证机制缺失', '漏洞类型': 'CWE-306', '披露时间': '2022-01-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-39143', '漏洞名称': 'linuxfoundation spinnaker 对路径名的限制不恰当（路径遍历）', '漏洞类型': 'CWE-22', '披露时间': '2022-01-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45485', '漏洞名称': 'Linux kernel加密问题漏洞', '漏洞类型': 'CWE-327', '披露时间': '2021-12-25', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45486', '漏洞名称': 'Linux kernel 加密问题漏洞', '漏洞类型': 'CWE-327', '披露时间': '2021-12-25', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45480', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-401', '披露时间': '2021-12-25', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45469', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-125', '披露时间': '2021-12-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-44733', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2021-12-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-20321', '漏洞名称': 'Linux kernel 竞争条件问题漏洞', '漏洞类型': 'CWE-362', '披露时间': '2021-12-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-38198', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-12-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-36779', '漏洞名称': 'linuxfoundation longhorn 访问控制不恰当', '漏洞类型': 'CWE-284', '披露时间': '2021-12-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-36780', '漏洞名称': 'linuxfoundation longhorn 访问控制不恰当', '漏洞类型': 'CWE-284', '披露时间': '2021-12-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-20322', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-330', '披露时间': '2021-12-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-45095', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2021-12-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4095', '漏洞名称': 'Linux Kernel 安全漏洞', '漏洞类型': 'CWE-476', '披露时间': '2021-12-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-41272', '漏洞名称': 'linuxfoundation besu 数值类型间的不正确转换', '漏洞类型': 'CWE-681', '披露时间': '2021-12-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-34981', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-12-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-20320', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-200', '披露时间': '2021-12-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-25020', '漏洞名称': 'linux_kernel 缓冲区溢出漏洞', '漏洞类型': 'CWE-120', '披露时间': '2021-12-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4001', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-367', '披露时间': '2021-12-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-42252', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-12-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43056', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-12-02', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43976', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-11-29', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43776', '漏洞名称': 'linuxfoundation auth_backend 在web页面生成时对输入的转义处理不恰当（跨站脚本）', '漏洞类型': 'CWE-79', '披露时间': '2021-11-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43667', '漏洞名称': 'linuxfoundation fabric 空指针解引用', '漏洞类型': 'CWE-476', '披露时间': '2021-11-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43669', '漏洞名称': 'linuxfoundation fabric http请求的解释不一致性（http请求私运）', '漏洞类型': 'CWE-444', '披露时间': '2021-11-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43975', '漏洞名称': 'linux linux_kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-787', '披露时间': '2021-11-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-34866', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-843', '披露时间': '2021-11-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3733', '漏洞名称': 'SUSE Linux Enterprise Server 代码问题漏洞', '漏洞类型': 'CWE-400', '披露时间': '2021-11-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43389', '漏洞名称': 'linux linux_kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-125', '披露时间': '2021-11-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-23679', '漏洞名称': 'linux_network_project linux_network_project 未进行输入大小检查的缓冲区拷贝（传统缓冲区溢出）', '漏洞类型': 'CWE-120', '披露时间': '2021-11-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43267', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-20', '披露时间': '2021-11-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-27820', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2021-11-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2017-5123', '漏洞名称': 'Linux kernel 权限提升漏洞', '漏洞类型': 'CWE-20', '披露时间': '2021-11-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-38199', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-10-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-43057', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2021-10-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-42327', '漏洞名称': 'linux linux_kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-787', '披露时间': '2021-10-22', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-42739', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-787', '披露时间': '2021-10-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-41131', '漏洞名称': 'linuxfoundation the_update_framework 对路径名的限制不恰当（路径遍历）', '漏洞类型': 'CWE-22', '披露时间': '2021-10-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-41151', '漏洞名称': 'linuxfoundation backstage 对路径名的限制不恰当（路径遍历）', '漏洞类型': 'CWE-22', '披露时间': '2021-10-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-40239', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-120', '披露时间': '2021-10-12', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3732', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2021-10-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-42008', '漏洞名称': 'linux linux_kernel 跨界内存写', '漏洞类型': 'CWE-787', '披露时间': '2021-10-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-41864', '漏洞名称': 'Linux kernel 输入验证错误漏洞', '漏洞类型': 'CWE-190', '披露时间': '2021-10-02', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3580', '漏洞名称': 'Linux Nettle输入验证错误漏洞（CVE-2021-3580）', '漏洞类型': 'CWE-20', '披露时间': '2021-09-29', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3753', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-125', '披露时间': '2021-09-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3743', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-125', '披露时间': '2021-09-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3739', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-476', '披露时间': '2021-09-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-20317', '漏洞名称': 'linux linux_kernel 初始化不恰当', '漏洞类型': 'CWE-665', '披露时间': '2021-09-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-32294', '漏洞名称': 'linuxsampler libgig 跨界内存写', '漏洞类型': 'CWE-787', '披露时间': '2021-09-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-41073', '漏洞名称': 'Linux kernel 权限提升漏洞', '漏洞类型': 'CWE-269', '披露时间': '2021-09-20', '漏洞状态': 'CVE'}
